Name,Component,Side,Centre X,Centre Y,Rotation
AD7091,AD7091,Bottom,1278,-1500,180
AD7398,AD7398,Bottom,1577,-1389,0
U4,ANTENNA,Top,162,-1765,90
JP2,BTE-040-01-F-D-A,Bottom,1011,-1808,0
JP3,BTE-040-01-F-D-A,Bottom,1011,-234,0
C16,C0201_0.3p_25V,Bottom,659,-767,180
C2,C0402_0.1u_16V,Bottom,1204,-1506,180
C9,C0402_0.1u_16V,Top,1124,-236,0
C11,C0402_0.1u_16V,Top,1649,-396,0
C15,C0402_0.1u_16V,Top,1069,-381,90
C17,C0402_0.1u_16V,Bottom,744,-746,180
C10,C0402_1n_50V,Top,1184,-236,0
C12,C0402_1n_50V,Top,1744,-211,90
C22,C0402_1n_50V,Bottom,1089,-1161,90
C23,C0402_1n_50V,Bottom,1639,-696,0
C25,C0402_1n_50V,Bottom,1529,-696,0
C3,C0402_1u_16V,Top,709,-236,0
C6,C0402_1u_16V,Top,1244,-236,0
C18,C0402_1u_16V,Bottom,1314,-1371,0
C21,C0402_1u_16V,Bottom,1089,-1221,90
C24,C0402_1u_16V,Bottom,1584,-696,0
C26,C0402_1u_16V,Bottom,1474,-696,0
C4,C0402_2.2u_4V,Top,769,-236,0
C7,C0402_2.2u_4V,Top,1299,-236,0
C20,C0402_4.7n_25V,Bottom,1229,-1341,0
C5,C0402_10n_25V,Top,824,-236,0
C8,C0402_10n_25V,Top,1354,-236,0
C14,C0402_10n_25V,Top,1154,-476,180
C1,C0603_10u_6.3V,Bottom,1134,-1506,180
C19,C0603_10u_6.3V,Bottom,1604,-1136,0
C13,C0805_22u_6.3V,Top,1314,-451,90
U2,CAT6219_3V3,Top,981,-233,0
U3,CAT6219_3V3,Top,1551,-233,0
CC3000,CC3000,Top,509,-1184,90
CAM,CONN25_FLAT_2013928-8,Top,1911,-501,90
DS93,DS92LV1212A,Bottom,1195,-903,270
FERR,FERR,Top,1489,-436,90
U1,IRLML2060,Top,1200,-1062,0
U6,IRLML2060,Top,1212,-1359,0
L7,L0402_1.0NH,Bottom,834,-746,0
L8,L0402_1.0NH,Bottom,924,-746,0
L6,L0402_2.2NH,Top,79,-1356,0
L5,L0402_2.7NH,Top,79,-1481,180
LED,Molex_0908140906,Top,1901,-1016,90
R11,R0201_0_1/20,Top,1213,-881,90
R17,R0201_0_1/20,Bottom,409,-1382,180
R18,R0201_0_1/20,Bottom,474,-1382,180
R19,R0201_0_1/20,Bottom,539,-1382,180
R20,R0201_0_1/20,Bottom,604,-1382,180
R21,R0201_0_1/20,Bottom,760,-1311,270
R22,R0201_0_1/20,Bottom,760,-1251,270
R23,R0201_0_1/20,Bottom,760,-1191,270
R24,R0201_0_1/20,Bottom,760,-1131,270
R25,R0201_0_1/20,Bottom,760,-1071,270
R26,R0201_0_1/20,Bottom,494,-992,180
R27,R0201_0_1/20,Bottom,429,-992,180
R28,R0201_0_1/20,Bottom,344,-1382,180
R15,R0603_0_1/10,Bottom,294,-1116,0
R16,R0603_0_1/10,Bottom,319,-1001,270
R9,R0603_10k_1/10,Top,1049,-1282,180
R13,R0603_10k_1/10,Top,1608,-1174,90
R10,R0603_51_1/10,Bottom,1009,-1446,0
R1,R0603_220_1/10,Top,1609,-1341,90
R2,R0603_220_1/10,Top,1609,-1426,90
R3,R0603_220_1/10,Top,1609,-1511,90
R4,R0603_220_1/10,Top,1609,-1606,90
R8,R0603_220_1/10,Top,1210,-1247,90
R12,R0603_220_1/10,Top,1609,-1257,90
R6,R0603_1470k_1/10,Top,1588,-856,90
RS1,R1206_10_1/4,Top,900,-1696,0
RS2,R1206_10_1/4,Top,1014,-1696,0
RS3,R1206_10_1/4,Top,1134,-1696,0
RS4,R1206_10_1/4,Top,1249,-1696,0
RS5,R1206_10_1/4,Top,436,-1694,0
RS6,R1206_10_1/4,Top,553,-1694,0
RS7,R1206_10_1/4,Top,671,-1694,0
RS8,R1206_10_1/4,Top,785,-1694,0
